date,last day of the month,dataset type,number of datasets
09/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
09/07/2016,0,n3,28
09/07/2016,0,x-qgis,18
09/07/2016,0,x-dbase,18
09/07/2016,0,octet-stream,18
09/07/2016,0,json,17
09/07/2016,0,plain,13
09/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
09/07/2016,0,rss+xml,6
09/07/2016,0,rdf,5
09/07/2016,0,tiff,5
09/07/2016,0,x-javascript,4
09/07/2016,0,x-shockwave-flash,4
09/07/2016,0,ms-word,3
09/07/2016,0,png,2
09/07/2016,0,vnd.google-earth.kml+xml,1
09/07/2016,0,x-mxd,1
09/07/2016,0,x-n3,1
10/07/2016,0,zip,11008
10/07/2016,0,x-gzip,6347
10/07/2016,0,tsv,6340
10/07/2016,0,xml,826
10/07/2016,0,pdf,714
10/07/2016,0,csv,486
10/07/2016,0,html,360
10/07/2016,0,vnd.ms-excel,239
10/07/2016,0,rdf_xml,124
10/07/2016,0,msaccess,44
10/07/2016,0,sparql,32
10/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
10/07/2016,0,n3,28
10/07/2016,0,x-qgis,18
10/07/2016,0,x-dbase,18
10/07/2016,0,octet-stream,18
10/07/2016,0,json,17
10/07/2016,0,plain,13
10/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
10/07/2016,0,rss+xml,6
10/07/2016,0,rdf,5
10/07/2016,0,tiff,5
10/07/2016,0,x-javascript,4
10/07/2016,0,x-shockwave-flash,4
10/07/2016,0,ms-word,3
10/07/2016,0,png,2
10/07/2016,0,vnd.google-earth.kml+xml,1
10/07/2016,0,x-mxd,1
10/07/2016,0,x-n3,1
11/07/2016,0,zip,11008
11/07/2016,0,x-gzip,6347
11/07/2016,0,tsv,6340
11/07/2016,0,xml,826
11/07/2016,0,pdf,714
11/07/2016,0,csv,486
11/07/2016,0,html,360
11/07/2016,0,vnd.ms-excel,239
11/07/2016,0,rdf_xml,124
11/07/2016,0,msaccess,44
11/07/2016,0,sparql,32
11/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
11/07/2016,0,n3,28
11/07/2016,0,x-qgis,18
11/07/2016,0,x-dbase,18
11/07/2016,0,octet-stream,18
11/07/2016,0,json,17
11/07/2016,0,plain,13
11/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
11/07/2016,0,rss+xml,6
11/07/2016,0,rdf,5
11/07/2016,0,tiff,5
11/07/2016,0,x-javascript,4
11/07/2016,0,x-shockwave-flash,4
11/07/2016,0,ms-word,3
11/07/2016,0,png,2
11/07/2016,0,vnd.google-earth.kml+xml,1
11/07/2016,0,x-mxd,1
11/07/2016,0,x-n3,1
12/07/2016,0,zip,11008
12/07/2016,0,x-gzip,6346
12/07/2016,0,tsv,6339
12/07/2016,0,xml,826
12/07/2016,0,pdf,714
12/07/2016,0,csv,486
12/07/2016,0,html,360
12/07/2016,0,vnd.ms-excel,239
12/07/2016,0,rdf_xml,124
12/07/2016,0,msaccess,44
12/07/2016,0,sparql,32
12/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
12/07/2016,0,n3,28
12/07/2016,0,x-qgis,18
12/07/2016,0,x-dbase,18
12/07/2016,0,octet-stream,18
12/07/2016,0,json,17
12/07/2016,0,plain,13
12/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
12/07/2016,0,rss+xml,6
12/07/2016,0,rdf,5
12/07/2016,0,tiff,5
12/07/2016,0,x-javascript,4
12/07/2016,0,x-shockwave-flash,4
12/07/2016,0,ms-word,3
12/07/2016,0,png,2
12/07/2016,0,vnd.google-earth.kml+xml,1
12/07/2016,0,x-mxd,1
12/07/2016,0,x-n3,1
13/07/2016,0,zip,11012
13/07/2016,0,x-gzip,6348
13/07/2016,0,tsv,6341
13/07/2016,0,xml,826
13/07/2016,0,pdf,720
13/07/2016,0,csv,486
13/07/2016,0,html,360
13/07/2016,0,vnd.ms-excel,239
13/07/2016,0,rdf_xml,124
13/07/2016,0,msaccess,44
13/07/2016,0,sparql,32
13/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
13/07/2016,0,n3,28
13/07/2016,0,x-qgis,18
13/07/2016,0,x-dbase,18
13/07/2016,0,octet-stream,18
13/07/2016,0,json,17
13/07/2016,0,plain,13
13/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
13/07/2016,0,rss+xml,6
13/07/2016,0,rdf,5
13/07/2016,0,tiff,5
13/07/2016,0,x-javascript,4
13/07/2016,0,x-shockwave-flash,4
13/07/2016,0,ms-word,3
13/07/2016,0,png,2
13/07/2016,0,vnd.google-earth.kml+xml,1
13/07/2016,0,x-mxd,1
13/07/2016,0,x-n3,1
14/07/2016,0,zip,11012
14/07/2016,0,x-gzip,6345
14/07/2016,0,tsv,6338
14/07/2016,0,xml,826
14/07/2016,0,pdf,726
14/07/2016,0,csv,486
14/07/2016,0,html,360
14/07/2016,0,vnd.ms-excel,239
14/07/2016,0,rdf_xml,124
14/07/2016,0,msaccess,44
14/07/2016,0,sparql,32
14/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
14/07/2016,0,n3,28
14/07/2016,0,x-qgis,18
14/07/2016,0,x-dbase,18
14/07/2016,0,octet-stream,18
14/07/2016,0,json,17
14/07/2016,0,plain,13
14/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
14/07/2016,0,rss+xml,6
14/07/2016,0,rdf,5
14/07/2016,0,tiff,5
14/07/2016,0,x-javascript,4
14/07/2016,0,x-shockwave-flash,4
14/07/2016,0,ms-word,3
14/07/2016,0,png,2
14/07/2016,0,vnd.google-earth.kml+xml,1
14/07/2016,0,x-mxd,1
14/07/2016,0,x-n3,1
15/07/2016,0,zip,11012
15/07/2016,0,x-gzip,6345
15/07/2016,0,tsv,6338
15/07/2016,0,xml,826
15/07/2016,0,pdf,726
15/07/2016,0,csv,486
15/07/2016,0,html,360
15/07/2016,0,vnd.ms-excel,239
15/07/2016,0,rdf_xml,124
15/07/2016,0,msaccess,44
15/07/2016,0,sparql,32
15/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
15/07/2016,0,n3,28
15/07/2016,0,x-qgis,18
15/07/2016,0,x-dbase,18
15/07/2016,0,octet-stream,18
15/07/2016,0,json,17
15/07/2016,0,plain,13
15/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
15/07/2016,0,rss+xml,6
15/07/2016,0,rdf,5
15/07/2016,0,tiff,5
15/07/2016,0,x-javascript,4
15/07/2016,0,x-shockwave-flash,4
15/07/2016,0,ms-word,3
15/07/2016,0,png,2
15/07/2016,0,vnd.google-earth.kml+xml,1
15/07/2016,0,x-mxd,1
15/07/2016,0,x-n3,1
16/07/2016,0,zip,11016
16/07/2016,0,x-gzip,6347
16/07/2016,0,tsv,6340
16/07/2016,0,xml,826
16/07/2016,0,pdf,726
16/07/2016,0,csv,486
16/07/2016,0,html,360
16/07/2016,0,vnd.ms-excel,239
16/07/2016,0,rdf_xml,118
16/07/2016,0,msaccess,44
16/07/2016,0,sparql,32
16/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
16/07/2016,0,n3,28
16/07/2016,0,x-qgis,18
16/07/2016,0,x-dbase,18
16/07/2016,0,octet-stream,18
16/07/2016,0,json,17
16/07/2016,0,plain,13
16/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
16/07/2016,0,rss+xml,6
16/07/2016,0,rdf,5
16/07/2016,0,tiff,5
16/07/2016,0,x-javascript,4
16/07/2016,0,x-shockwave-flash,4
16/07/2016,0,ms-word,3
16/07/2016,0,png,2
16/07/2016,0,vnd.google-earth.kml+xml,1
16/07/2016,0,x-mxd,1
16/07/2016,0,x-n3,1
17/07/2016,0,zip,11017
17/07/2016,0,x-gzip,6348
17/07/2016,0,tsv,6341
17/07/2016,0,xml,826
17/07/2016,0,pdf,726
17/07/2016,0,csv,486
17/07/2016,0,html,360
17/07/2016,0,vnd.ms-excel,239
17/07/2016,0,rdf_xml,118
17/07/2016,0,msaccess,44
17/07/2016,0,sparql,32
17/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
17/07/2016,0,n3,28
17/07/2016,0,x-qgis,18
17/07/2016,0,x-dbase,18
17/07/2016,0,octet-stream,18
17/07/2016,0,json,17
17/07/2016,0,plain,13
17/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
17/07/2016,0,rss+xml,6
17/07/2016,0,rdf,5
17/07/2016,0,tiff,5
17/07/2016,0,x-javascript,4
17/07/2016,0,x-shockwave-flash,4
17/07/2016,0,ms-word,3
17/07/2016,0,png,2
17/07/2016,0,vnd.google-earth.kml+xml,1
17/07/2016,0,x-mxd,1
17/07/2016,0,x-n3,1
18/07/2016,0,zip,11017
18/07/2016,0,x-gzip,6348
18/07/2016,0,tsv,6341
18/07/2016,0,xml,826
18/07/2016,0,pdf,726
18/07/2016,0,csv,486
18/07/2016,0,html,360
18/07/2016,0,vnd.ms-excel,239
18/07/2016,0,rdf_xml,118
18/07/2016,0,msaccess,44
18/07/2016,0,sparql,32
18/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
18/07/2016,0,n3,28
18/07/2016,0,x-qgis,18
18/07/2016,0,x-dbase,18
18/07/2016,0,octet-stream,18
18/07/2016,0,json,17
18/07/2016,0,plain,13
18/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
18/07/2016,0,rss+xml,6
18/07/2016,0,rdf,5
18/07/2016,0,tiff,5
18/07/2016,0,x-javascript,4
18/07/2016,0,x-shockwave-flash,4
18/07/2016,0,ms-word,3
18/07/2016,0,png,2
18/07/2016,0,vnd.google-earth.kml+xml,1
18/07/2016,0,x-mxd,1
18/07/2016,0,x-n3,1
19/07/2016,0,zip,11017
19/07/2016,0,x-gzip,6347
19/07/2016,0,tsv,6340
19/07/2016,0,xml,826
19/07/2016,0,pdf,726
19/07/2016,0,csv,486
19/07/2016,0,html,360
19/07/2016,0,vnd.ms-excel,239
19/07/2016,0,rdf_xml,118
19/07/2016,0,msaccess,44
19/07/2016,0,sparql,32
19/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
19/07/2016,0,n3,28
