date,last day of the month,dataset type,number of datasets
18/07/2017,0,csv,473
18/07/2017,0,rdf_xml,183
18/07/2017,0,ms-word,113
18/07/2017,0,sparql,56
18/07/2017,0,n3,50
18/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
18/07/2017,0,json,29
18/07/2017,0,vnd.ms-powerpoint,10
18/07/2017,0,plain,9
18/07/2017,0,rss+xml,6
18/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
18/07/2017,0,tiff,5
18/07/2017,0,rdf,5
18/07/2017,0,x-dbase,5
18/07/2017,0,x-qgis,5
18/07/2017,0,x-msaccess,1
18/07/2017,0,x-mxd,1
18/07/2017,0,x-n3,1
19/07/2017,0,zip,11588
19/07/2017,0,x-gzip,6843
19/07/2017,0,tsv,6836
19/07/2017,0,html,1218
19/07/2017,0,pdf,1077
19/07/2017,0,xml,870
19/07/2017,0,vnd.ms-excel,521
19/07/2017,0,csv,473
19/07/2017,0,rdf_xml,183
19/07/2017,0,ms-word,113
19/07/2017,0,sparql,56
19/07/2017,0,n3,50
19/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
19/07/2017,0,json,29
19/07/2017,0,vnd.ms-powerpoint,10
19/07/2017,0,plain,9
19/07/2017,0,rss+xml,6
19/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
19/07/2017,0,tiff,5
19/07/2017,0,rdf,5
19/07/2017,0,x-dbase,5
19/07/2017,0,x-qgis,5
19/07/2017,0,x-msaccess,1
19/07/2017,0,x-mxd,1
19/07/2017,0,x-n3,1
20/07/2017,0,zip,11592
20/07/2017,0,x-gzip,6847
20/07/2017,0,tsv,6840
20/07/2017,0,html,1218
20/07/2017,0,pdf,1077
20/07/2017,0,xml,871
20/07/2017,0,vnd.ms-excel,522
20/07/2017,0,csv,473
20/07/2017,0,rdf_xml,183
20/07/2017,0,ms-word,113
20/07/2017,0,sparql,56
20/07/2017,0,n3,50
20/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
20/07/2017,0,json,29
20/07/2017,0,vnd.ms-powerpoint,10
20/07/2017,0,plain,9
20/07/2017,0,rss+xml,6
20/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
20/07/2017,0,tiff,5
20/07/2017,0,rdf,5
20/07/2017,0,x-dbase,5
20/07/2017,0,x-qgis,5
20/07/2017,0,x-msaccess,1
20/07/2017,0,x-mxd,1
20/07/2017,0,x-n3,1
21/07/2017,0,zip,11592
21/07/2017,0,x-gzip,6846
21/07/2017,0,tsv,6839
21/07/2017,0,html,1218
21/07/2017,0,pdf,1082
21/07/2017,0,xml,871
21/07/2017,0,vnd.ms-excel,523
21/07/2017,0,csv,473
21/07/2017,0,rdf_xml,183
21/07/2017,0,ms-word,113
21/07/2017,0,sparql,56
21/07/2017,0,n3,50
21/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
21/07/2017,0,json,29
21/07/2017,0,vnd.ms-powerpoint,10
21/07/2017,0,plain,9
21/07/2017,0,rss+xml,6
21/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
21/07/2017,0,tiff,5
21/07/2017,0,rdf,5
21/07/2017,0,x-dbase,5
21/07/2017,0,x-qgis,5
21/07/2017,0,x-msaccess,1
21/07/2017,0,x-mxd,1
21/07/2017,0,x-n3,1
22/07/2017,0,zip,11592
22/07/2017,0,x-gzip,6846
22/07/2017,0,tsv,6839
22/07/2017,0,html,1218
22/07/2017,0,pdf,1082
22/07/2017,0,xml,871
22/07/2017,0,vnd.ms-excel,523
22/07/2017,0,csv,473
22/07/2017,0,rdf_xml,183
22/07/2017,0,ms-word,113
22/07/2017,0,sparql,56
22/07/2017,0,n3,50
22/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
22/07/2017,0,json,29
22/07/2017,0,vnd.ms-powerpoint,10
22/07/2017,0,plain,9
22/07/2017,0,rss+xml,6
22/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
22/07/2017,0,tiff,5
22/07/2017,0,rdf,5
22/07/2017,0,x-dbase,5
22/07/2017,0,x-qgis,5
22/07/2017,0,x-msaccess,1
22/07/2017,0,x-mxd,1
22/07/2017,0,x-n3,1
23/07/2017,0,zip,11592
23/07/2017,0,x-gzip,6846
23/07/2017,0,tsv,6839
23/07/2017,0,html,1218
23/07/2017,0,pdf,1082
23/07/2017,0,xml,871
23/07/2017,0,vnd.ms-excel,523
23/07/2017,0,csv,473
23/07/2017,0,rdf_xml,183
23/07/2017,0,ms-word,113
23/07/2017,0,sparql,56
23/07/2017,0,n3,50
23/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
23/07/2017,0,json,29
23/07/2017,0,vnd.ms-powerpoint,10
23/07/2017,0,plain,9
23/07/2017,0,rss+xml,6
23/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
23/07/2017,0,tiff,5
23/07/2017,0,rdf,5
23/07/2017,0,x-dbase,5
23/07/2017,0,x-qgis,5
23/07/2017,0,x-msaccess,1
23/07/2017,0,x-mxd,1
23/07/2017,0,x-n3,1
25/07/2017,0,zip,11592
25/07/2017,0,x-gzip,6846
25/07/2017,0,tsv,6839
25/07/2017,0,html,1218
25/07/2017,0,pdf,1082
25/07/2017,0,xml,871
25/07/2017,0,vnd.ms-excel,523
25/07/2017,0,csv,473
25/07/2017,0,rdf_xml,183
25/07/2017,0,ms-word,113
25/07/2017,0,sparql,56
25/07/2017,0,n3,50
25/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
25/07/2017,0,json,29
25/07/2017,0,vnd.ms-powerpoint,10
25/07/2017,0,plain,9
25/07/2017,0,rss+xml,6
25/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
25/07/2017,0,tiff,5
25/07/2017,0,rdf,5
25/07/2017,0,x-dbase,5
25/07/2017,0,x-qgis,5
25/07/2017,0,x-msaccess,1
25/07/2017,0,x-mxd,1
25/07/2017,0,x-n3,1
26/07/2017,0,zip,11592
26/07/2017,0,x-gzip,6845
26/07/2017,0,tsv,6838
26/07/2017,0,html,1219
26/07/2017,0,pdf,1082
26/07/2017,0,xml,871
26/07/2017,0,vnd.ms-excel,524
26/07/2017,0,csv,473
26/07/2017,0,rdf_xml,183
26/07/2017,0,ms-word,113
26/07/2017,0,sparql,56
26/07/2017,0,n3,50
26/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
26/07/2017,0,json,29
26/07/2017,0,vnd.ms-powerpoint,10
26/07/2017,0,plain,9
26/07/2017,0,rss+xml,6
26/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
26/07/2017,0,tiff,5
26/07/2017,0,rdf,5
26/07/2017,0,x-dbase,5
26/07/2017,0,x-qgis,5
26/07/2017,0,x-msaccess,1
26/07/2017,0,x-mxd,1
26/07/2017,0,x-n3,1
27/07/2017,0,zip,11592
27/07/2017,0,x-gzip,6845
27/07/2017,0,tsv,6838
27/07/2017,0,html,1219
27/07/2017,0,pdf,1082
27/07/2017,0,xml,871
27/07/2017,0,vnd.ms-excel,524
27/07/2017,0,csv,473
27/07/2017,0,rdf_xml,183
27/07/2017,0,ms-word,113
27/07/2017,0,sparql,56
27/07/2017,0,n3,50
27/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
27/07/2017,0,json,29
27/07/2017,0,vnd.ms-powerpoint,10
27/07/2017,0,plain,9
27/07/2017,0,rss+xml,6
27/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
27/07/2017,0,tiff,5
27/07/2017,0,rdf,5
27/07/2017,0,x-dbase,5
27/07/2017,0,x-qgis,5
27/07/2017,0,x-msaccess,1
27/07/2017,0,x-mxd,1
27/07/2017,0,x-n3,1
28/07/2017,0,zip,11592
28/07/2017,0,x-gzip,6845
28/07/2017,0,tsv,6838
28/07/2017,0,html,1219
28/07/2017,0,pdf,1082
28/07/2017,0,xml,871
28/07/2017,0,vnd.ms-excel,524
28/07/2017,0,csv,473
28/07/2017,0,rdf_xml,183
28/07/2017,0,ms-word,113
28/07/2017,0,sparql,56
28/07/2017,0,n3,50
28/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
28/07/2017,0,json,29
28/07/2017,0,vnd.ms-powerpoint,10
28/07/2017,0,plain,9
28/07/2017,0,rss+xml,6
28/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
28/07/2017,0,tiff,5
28/07/2017,0,rdf,5
28/07/2017,0,x-dbase,5
28/07/2017,0,x-qgis,5
28/07/2017,0,x-msaccess,1
28/07/2017,0,x-mxd,1
28/07/2017,0,x-n3,1
29/07/2017,0,zip,11592
29/07/2017,0,x-gzip,6845
29/07/2017,0,tsv,6838
29/07/2017,0,html,1219
29/07/2017,0,pdf,1082
29/07/2017,0,xml,871
29/07/2017,0,vnd.ms-excel,524
29/07/2017,0,csv,473
29/07/2017,0,rdf_xml,183
29/07/2017,0,ms-word,113
29/07/2017,0,sparql,56
29/07/2017,0,n3,50
29/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
29/07/2017,0,json,29
29/07/2017,0,vnd.ms-powerpoint,10
29/07/2017,0,plain,9
29/07/2017,0,rss+xml,6
29/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
29/07/2017,0,tiff,5
29/07/2017,0,rdf,5
29/07/2017,0,x-dbase,5
29/07/2017,0,x-qgis,5
29/07/2017,0,x-msaccess,1
29/07/2017,0,x-mxd,1
29/07/2017,0,x-n3,1
30/07/2017,0,zip,11592
30/07/2017,0,x-gzip,6845
30/07/2017,0,tsv,6838
30/07/2017,0,html,1219
30/07/2017,0,pdf,1082
30/07/2017,0,xml,871
30/07/2017,0,vnd.ms-excel,524
30/07/2017,0,csv,473
30/07/2017,0,rdf_xml,183
30/07/2017,0,ms-word,113
30/07/2017,0,sparql,56
30/07/2017,0,n3,50
30/07/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
30/07/2017,0,json,29
30/07/2017,0,vnd.ms-powerpoint,10
30/07/2017,0,plain,9
30/07/2017,0,rss+xml,6
30/07/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
30/07/2017,0,tiff,5
30/07/2017,0,rdf,5
30/07/2017,0,x-dbase,5
30/07/2017,0,x-qgis,5
30/07/2017,0,x-msaccess,1
30/07/2017,0,x-mxd,1
30/07/2017,0,x-n3,1
31/07/2017,1,zip,11592
31/07/2017,1,x-gzip,6845
31/07/2017,1,tsv,6838
31/07/2017,1,html,1219
31/07/2017,1,pdf,1082
31/07/2017,1,xml,871
31/07/2017,1,vnd.ms-excel,524
31/07/2017,1,csv,473
31/07/2017,1,rdf_xml,183
31/07/2017,1,ms-word,113
31/07/2017,1,sparql,56
31/07/2017,1,n3,50
31/07/2017,1,vnd.openxmlformats-officedocument.presentationml.presentation,31
31/07/2017,1,json,29
31/07/2017,1,vnd.ms-powerpoint,10
31/07/2017,1,plain,9
31/07/2017,1,rss+xml,6
31/07/2017,1,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
31/07/2017,1,tiff,5
31/07/2017,1,rdf,5
31/07/2017,1,x-dbase,5
31/07/2017,1,x-qgis,5
31/07/2017,1,x-msaccess,1
31/07/2017,1,x-mxd,1
31/07/2017,1,x-n3,1
01/08/2017,0,zip,11592
01/08/2017,0,x-gzip,6845
01/08/2017,0,tsv,6838
01/08/2017,0,html,1219
01/08/2017,0,pdf,1082
01/08/2017,0,xml,871
01/08/2017,0,vnd.ms-excel,524
01/08/2017,0,csv,473
01/08/2017,0,rdf_xml,183
01/08/2017,0,ms-word,113
01/08/2017,0,sparql,56
01/08/2017,0,n3,50
01/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
01/08/2017,0,json,29
01/08/2017,0,vnd.ms-powerpoint,10
01/08/2017,0,plain,9
01/08/2017,0,rss+xml,6
01/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
01/08/2017,0,tiff,5
01/08/2017,0,rdf,5
01/08/2017,0,x-dbase,5
01/08/2017,0,x-qgis,5
01/08/2017,0,x-msaccess,1
01/08/2017,0,x-mxd,1
01/08/2017,0,x-n3,1
02/08/2017,0,zip,11592
02/08/2017,0,x-gzip,6845
02/08/2017,0,tsv,6838
02/08/2017,0,html,1219
02/08/2017,0,pdf,1082
02/08/2017,0,xml,871
02/08/2017,0,vnd.ms-excel,524
02/08/2017,0,csv,473
02/08/2017,0,rdf_xml,183
02/08/2017,0,ms-word,113
02/08/2017,0,sparql,56
02/08/2017,0,n3,50
02/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
02/08/2017,0,json,29
02/08/2017,0,vnd.ms-powerpoint,10
02/08/2017,0,plain,9
02/08/2017,0,rss+xml,6
02/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
02/08/2017,0,tiff,5
02/08/2017,0,rdf,5
02/08/2017,0,x-dbase,5
02/08/2017,0,x-qgis,5
02/08/2017,0,x-msaccess,1
02/08/2017,0,x-mxd,1
02/08/2017,0,x-n3,1
03/08/2017,0,zip,11592
03/08/2017,0,x-gzip,6845
03/08/2017,0,tsv,6838
03/08/2017,0,html,1219
03/08/2017,0,pdf,1082
03/08/2017,0,xml,871
03/08/2017,0,vnd.ms-excel,524
03/08/2017,0,csv,473
03/08/2017,0,rdf_xml,183
03/08/2017,0,ms-word,113
03/08/2017,0,sparql,56
03/08/2017,0,n3,50
03/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
03/08/2017,0,json,29
03/08/2017,0,vnd.ms-powerpoint,10
03/08/2017,0,plain,9
03/08/2017,0,rss+xml,6
03/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
03/08/2017,0,tiff,5
03/08/2017,0,rdf,5
03/08/2017,0,x-dbase,5
03/08/2017,0,x-qgis,5
03/08/2017,0,x-msaccess,1
03/08/2017,0,x-mxd,1
03/08/2017,0,x-n3,1
04/08/2017,0,zip,11597
04/08/2017,0,x-gzip,6842
04/08/2017,0,tsv,6835
04/08/2017,0,html,1219
04/08/2017,0,pdf,1083
04/08/2017,0,xml,871
04/08/2017,0,vnd.ms-excel,524
04/08/2017,0,csv,473
04/08/2017,0,rdf_xml,183
04/08/2017,0,ms-word,113
04/08/2017,0,sparql,56
04/08/2017,0,n3,50
04/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
04/08/2017,0,json,29
04/08/2017,0,vnd.ms-powerpoint,10
04/08/2017,0,plain,9
04/08/2017,0,rss+xml,6
04/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
04/08/2017,0,tiff,5
04/08/2017,0,rdf,5
04/08/2017,0,x-dbase,5
04/08/2017,0,x-qgis,5
04/08/2017,0,x-msaccess,1
04/08/2017,0,x-mxd,1
04/08/2017,0,x-n3,1
05/08/2017,0,zip,11603
05/08/2017,0,x-gzip,6848
05/08/2017,0,tsv,6841
05/08/2017,0,html,1219
05/08/2017,0,pdf,1083
05/08/2017,0,xml,871
05/08/2017,0,vnd.ms-excel,524
05/08/2017,0,csv,473
05/08/2017,0,rdf_xml,183
05/08/2017,0,ms-word,113
05/08/2017,0,sparql,56
05/08/2017,0,n3,50
05/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
05/08/2017,0,json,29
05/08/2017,0,vnd.ms-powerpoint,10
05/08/2017,0,plain,9
05/08/2017,0,rss+xml,6
05/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
05/08/2017,0,tiff,5
05/08/2017,0,rdf,5
05/08/2017,0,x-dbase,5
05/08/2017,0,x-qgis,5
05/08/2017,0,x-msaccess,1
05/08/2017,0,x-mxd,1
05/08/2017,0,x-n3,1
06/08/2017,0,zip,11603
06/08/2017,0,x-gzip,6848
06/08/2017,0,tsv,6841
06/08/2017,0,html,1219
06/08/2017,0,pdf,1083
06/08/2017,0,xml,871
06/08/2017,0,vnd.ms-excel,524
06/08/2017,0,csv,473
06/08/2017,0,rdf_xml,183
06/08/2017,0,ms-word,113
06/08/2017,0,sparql,56
06/08/2017,0,n3,50
06/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
06/08/2017,0,json,29
06/08/2017,0,vnd.ms-powerpoint,10
06/08/2017,0,plain,9
06/08/2017,0,rss+xml,6
06/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
06/08/2017,0,tiff,5
06/08/2017,0,rdf,5
06/08/2017,0,x-dbase,5
06/08/2017,0,x-qgis,5
06/08/2017,0,x-msaccess,1
06/08/2017,0,x-mxd,1
06/08/2017,0,x-n3,1
07/08/2017,0,zip,11603
07/08/2017,0,x-gzip,6848
07/08/2017,0,tsv,6841
07/08/2017,0,html,1219
07/08/2017,0,pdf,1083
07/08/2017,0,xml,871
07/08/2017,0,vnd.ms-excel,524
07/08/2017,0,csv,473
07/08/2017,0,rdf_xml,183
07/08/2017,0,ms-word,113
07/08/2017,0,sparql,56
07/08/2017,0,n3,50
07/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
07/08/2017,0,json,29
07/08/2017,0,vnd.ms-powerpoint,10
07/08/2017,0,plain,9
07/08/2017,0,rss+xml,6
07/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
07/08/2017,0,tiff,5
07/08/2017,0,rdf,5
07/08/2017,0,x-dbase,5
07/08/2017,0,x-qgis,5
07/08/2017,0,x-msaccess,1
07/08/2017,0,x-mxd,1
07/08/2017,0,x-n3,1
08/08/2017,0,zip,11603
08/08/2017,0,x-gzip,6848
08/08/2017,0,tsv,6841
08/08/2017,0,html,1219
08/08/2017,0,pdf,1083
08/08/2017,0,xml,871
08/08/2017,0,vnd.ms-excel,524
08/08/2017,0,csv,473
08/08/2017,0,rdf_xml,183
08/08/2017,0,ms-word,113
08/08/2017,0,sparql,56
08/08/2017,0,n3,50
08/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
08/08/2017,0,json,29
08/08/2017,0,vnd.ms-powerpoint,10
08/08/2017,0,plain,9
08/08/2017,0,rss+xml,6
08/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
08/08/2017,0,tiff,5
08/08/2017,0,rdf,5
08/08/2017,0,x-dbase,5
08/08/2017,0,x-qgis,5
08/08/2017,0,x-msaccess,1
08/08/2017,0,x-mxd,1
08/08/2017,0,x-n3,1
09/08/2017,0,zip,11599
09/08/2017,0,x-gzip,6844
09/08/2017,0,tsv,6837
09/08/2017,0,html,1219
09/08/2017,0,pdf,1087
09/08/2017,0,xml,871
09/08/2017,0,vnd.ms-excel,524
09/08/2017,0,csv,473
09/08/2017,0,rdf_xml,183
09/08/2017,0,ms-word,113
09/08/2017,0,sparql,56
09/08/2017,0,n3,50
09/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
09/08/2017,0,json,29
09/08/2017,0,vnd.ms-powerpoint,10
09/08/2017,0,plain,9
09/08/2017,0,rss+xml,6
09/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
09/08/2017,0,tiff,5
09/08/2017,0,rdf,5
09/08/2017,0,x-dbase,5
09/08/2017,0,x-qgis,5
09/08/2017,0,x-msaccess,1
09/08/2017,0,x-mxd,1
09/08/2017,0,x-n3,1
10/08/2017,0,zip,11603
10/08/2017,0,x-gzip,6848
10/08/2017,0,tsv,6841
10/08/2017,0,html,1219
10/08/2017,0,pdf,1089
10/08/2017,0,xml,871
10/08/2017,0,vnd.ms-excel,524
10/08/2017,0,csv,473
10/08/2017,0,rdf_xml,183
10/08/2017,0,ms-word,113
10/08/2017,0,sparql,56
10/08/2017,0,n3,50
10/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
10/08/2017,0,json,29
10/08/2017,0,vnd.ms-powerpoint,10
10/08/2017,0,plain,9
10/08/2017,0,rss+xml,6
10/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
10/08/2017,0,tiff,5
10/08/2017,0,rdf,5
10/08/2017,0,x-dbase,5
10/08/2017,0,x-qgis,5
10/08/2017,0,x-msaccess,1
10/08/2017,0,x-mxd,1
10/08/2017,0,x-n3,1
11/08/2017,0,zip,11603
11/08/2017,0,x-gzip,6848
11/08/2017,0,tsv,6841
11/08/2017,0,html,1219
11/08/2017,0,pdf,1089
11/08/2017,0,xml,871
11/08/2017,0,vnd.ms-excel,524
11/08/2017,0,csv,473
11/08/2017,0,rdf_xml,183
11/08/2017,0,ms-word,113
11/08/2017,0,sparql,56
11/08/2017,0,n3,50
11/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
11/08/2017,0,json,29
11/08/2017,0,vnd.ms-powerpoint,10
11/08/2017,0,plain,9
11/08/2017,0,rss+xml,6
11/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
11/08/2017,0,tiff,5
11/08/2017,0,rdf,5
11/08/2017,0,x-dbase,5
11/08/2017,0,x-qgis,5
11/08/2017,0,x-msaccess,1
11/08/2017,0,x-mxd,1
11/08/2017,0,x-n3,1
12/08/2017,0,zip,11603
12/08/2017,0,x-gzip,6848
12/08/2017,0,tsv,6841
12/08/2017,0,html,1219
12/08/2017,0,pdf,1089
12/08/2017,0,xml,871
12/08/2017,0,vnd.ms-excel,524
12/08/2017,0,csv,473
12/08/2017,0,rdf_xml,183
12/08/2017,0,ms-word,113
12/08/2017,0,sparql,56
12/08/2017,0,n3,50
12/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
12/08/2017,0,json,29
12/08/2017,0,vnd.ms-powerpoint,10
12/08/2017,0,plain,9
12/08/2017,0,rss+xml,6
12/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
12/08/2017,0,tiff,5
12/08/2017,0,rdf,5
12/08/2017,0,x-dbase,5
12/08/2017,0,x-qgis,5
12/08/2017,0,x-msaccess,1
12/08/2017,0,x-mxd,1
12/08/2017,0,x-n3,1
13/08/2017,0,zip,11602
13/08/2017,0,x-gzip,6847
13/08/2017,0,tsv,6840
13/08/2017,0,html,1219
13/08/2017,0,pdf,1089
13/08/2017,0,xml,871
13/08/2017,0,vnd.ms-excel,524
13/08/2017,0,csv,473
13/08/2017,0,rdf_xml,183
13/08/2017,0,ms-word,113
13/08/2017,0,sparql,56
13/08/2017,0,n3,50
13/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
13/08/2017,0,json,29
13/08/2017,0,vnd.ms-powerpoint,10
13/08/2017,0,plain,9
13/08/2017,0,rss+xml,6
13/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
13/08/2017,0,tiff,5
13/08/2017,0,rdf,5
13/08/2017,0,x-dbase,5
13/08/2017,0,x-qgis,5
13/08/2017,0,x-msaccess,1
13/08/2017,0,x-mxd,1
13/08/2017,0,x-n3,1
14/08/2017,0,zip,11602
14/08/2017,0,x-gzip,6847
14/08/2017,0,tsv,6840
14/08/2017,0,html,1219
14/08/2017,0,pdf,1089
14/08/2017,0,xml,871
14/08/2017,0,vnd.ms-excel,524
14/08/2017,0,csv,473
14/08/2017,0,rdf_xml,183
14/08/2017,0,ms-word,113
14/08/2017,0,sparql,56
14/08/2017,0,n3,50
14/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
14/08/2017,0,json,29
14/08/2017,0,vnd.ms-powerpoint,10
14/08/2017,0,plain,9
14/08/2017,0,rss+xml,6
14/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
14/08/2017,0,tiff,5
14/08/2017,0,rdf,5
14/08/2017,0,x-dbase,5
14/08/2017,0,x-qgis,5
14/08/2017,0,x-msaccess,1
14/08/2017,0,x-mxd,1
14/08/2017,0,x-n3,1
15/08/2017,0,zip,11600
15/08/2017,0,x-gzip,6845
15/08/2017,0,tsv,6838
15/08/2017,0,html,1219
15/08/2017,0,pdf,1091
15/08/2017,0,xml,871
15/08/2017,0,vnd.ms-excel,524
15/08/2017,0,csv,473
15/08/2017,0,rdf_xml,183
15/08/2017,0,ms-word,113
15/08/2017,0,sparql,56
15/08/2017,0,n3,50
15/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
15/08/2017,0,json,29
15/08/2017,0,vnd.ms-powerpoint,10
15/08/2017,0,plain,9
15/08/2017,0,rss+xml,6
15/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
15/08/2017,0,tiff,5
15/08/2017,0,rdf,5
15/08/2017,0,x-dbase,5
15/08/2017,0,x-qgis,5
15/08/2017,0,x-msaccess,1
15/08/2017,0,x-mxd,1
15/08/2017,0,x-n3,1
16/08/2017,0,zip,11600
16/08/2017,0,x-gzip,6845
16/08/2017,0,tsv,6838
16/08/2017,0,html,1219
16/08/2017,0,pdf,1091
16/08/2017,0,xml,871
16/08/2017,0,vnd.ms-excel,524
16/08/2017,0,csv,473
16/08/2017,0,rdf_xml,183
16/08/2017,0,ms-word,113
16/08/2017,0,sparql,56
16/08/2017,0,n3,50
16/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
16/08/2017,0,json,29
16/08/2017,0,vnd.ms-powerpoint,10
16/08/2017,0,plain,9
16/08/2017,0,rss+xml,6
16/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
16/08/2017,0,tiff,5
16/08/2017,0,rdf,5
16/08/2017,0,x-dbase,5
16/08/2017,0,x-qgis,5
16/08/2017,0,x-msaccess,1
16/08/2017,0,x-mxd,1
16/08/2017,0,x-n3,1
17/08/2017,0,zip,11604
17/08/2017,0,x-gzip,6849
17/08/2017,0,tsv,6842
17/08/2017,0,html,1219
17/08/2017,0,pdf,1101
17/08/2017,0,xml,871
17/08/2017,0,vnd.ms-excel,524
17/08/2017,0,csv,473
17/08/2017,0,rdf_xml,183
17/08/2017,0,ms-word,113
17/08/2017,0,sparql,56
17/08/2017,0,n3,50
17/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
17/08/2017,0,json,29
17/08/2017,0,vnd.ms-powerpoint,10
17/08/2017,0,plain,9
17/08/2017,0,rss+xml,6
17/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
17/08/2017,0,tiff,5
17/08/2017,0,rdf,5
17/08/2017,0,x-dbase,5
17/08/2017,0,x-qgis,5
17/08/2017,0,x-msaccess,1
17/08/2017,0,x-mxd,1
17/08/2017,0,x-n3,1
18/08/2017,0,zip,11604
18/08/2017,0,x-gzip,6849
18/08/2017,0,tsv,6842
18/08/2017,0,html,1219
18/08/2017,0,pdf,1105
18/08/2017,0,xml,871
18/08/2017,0,vnd.ms-excel,524
18/08/2017,0,csv,473
18/08/2017,0,rdf_xml,183
18/08/2017,0,ms-word,113
18/08/2017,0,sparql,56
18/08/2017,0,n3,50
18/08/2017,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
18/08/2017,0,json,29
18/08/2017,0,vnd.ms-powerpoint,10
18/08/2017,0,plain,9
18/08/2017,0,rss+xml,6
18/08/2017,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,6
18/08/2017,0,tiff,5
18/08/2017,0,rdf,5
18/08/2017,0,x-dbase,5
18/08/2017,0,x-qgis,5
18/08/2017,0,x-msaccess,1
18/08/2017,0,x-mxd,1
18/08/2017,0,x-n3,1
19/08/2017,0,zip,11603
19/08/2017,0,x-gzip,6848
19/08/2017,0,tsv,6841
19/08/2017,0,html,1219
19/08/2017,0,pdf,1104
19/08/2017,0,xml,877
19/08/2017,0,vnd.ms-excel,530
19/08/2017,0,csv,473
19/08/2017,0,rdf_xml,183
19/08/2017,0,ms-word,113
